application_id,age,annual_income,credit_score,loan_amount,years_employed,debt_to_income_ratio,existing_loans,employment_type,marital_status,education_level,residence_type,city_tier,card_type_requested,application_date,approval_status
100001,59,112483,577,15530,18,0.56,1,Business,Single,High School,Owned,Tier3,Gold,31/07/2025,Rejected
100002,49,159035,784,10310,22,0.46,6,Salaried,Married,Bachelors,Rented,Tier3,Gold,22/10/2024,Approved
100003,35,144217,440,35281,18,0.45,1,Self-Employed,Married,,Owned,Tier1,Gold,27/09/2025,Approved
100004,63,169938,409,24809,17,0.37,6,Business,Single,Masters,Family,Tier1,Platinum,18/06/2024,Rejected
100005,,129504,351,47104,29,0.06,0,Salaried,Divorced,Bachelors,Family,Tier3,Gold,23/07/2024,Rejected
100006,41,188377,618,22735,18,0.22,3,Salaried,Divorced,Masters,Family,Tier2,Platinum,31/03/2025,Approved
100007,59,130649,498,45363,4,0.12,2,Salaried,Divorced,High School,Family,Tier2,Platinum,24/08/2025,Approved
100008,39,151244,345,7749,12,0.48,5,Self-Employed,Single,Masters,Family,Tier2,Gold,08/07/2024,Rejected
100009,43,57813,804,28637,33,0.21,7,Self-Employed,Married,Bachelors,Family,Tier3,Silver,02/04/2025,Approved
100010,31,91729,839,8005,23,0.34,7,Self-Employed,Single,Masters,Owned,Tier3,Gold,01/04/2025,Approved
100011,31,29512,813,30898,,0.28,7,Business,Married,Bachelors,Rented,Tier3,Platinum,08/10/2025,Rejected
100012,44,178738,,24538,3,0.14,4,Business,Single,High School,Rented,Tier2,Platinum,01/01/2024,Approved
100013,56,172702,614,38206,7,0.67,4,Salaried,Married,Masters,Rented,Tier2,Platinum,06/04/2024,Approved
100014,60,142907,735,,0,0.66,2,,Divorced,High School,Owned,Tier2,Gold,12/02/2024,Approved
100015,44,156708,687,22708,12,0.1,4,Business,Single,High School,Owned,Tier3,Gold,13/01/2024,Approved
100016,23,159847,,46024,21,0.59,3,Salaried,Divorced,Masters,Family,Tier2,Platinum,18/05/2024,Approved
100017,42,89591,670,43944,28,0.37,5,Salaried,Single,Masters,Rented,Tier3,Gold,09/05/2025,Approved
100018,22,36351,464,26467,8,0.55,3,Self-Employed,Divorced,Masters,Owned,Tier3,Gold,27/08/2024,Approved
100019,44,140400,323,15412,26,0.15,7,Business,Married,High School,Owned,Tier2,Platinum,21/04/2025,Approved
100020,64,145533,334,30378,3,0.14,4,Self-Employed,Married,,Rented,Tier1,Gold,10/05/2025,Approved
100021,50,128627,813,48055,16,0.63,1,Salaried,Married,Bachelors,Owned,Tier3,Gold,07/09/2024,Approved
100022,58,153381,760,29102,2,0.63,7,Business,Married,Bachelors,Family,Tier3,Silver,20/04/2024,Approved
100023,22,120707,437,14044,3,0.35,5,Self-Employed,Single,Bachelors,Rented,Tier2,Silver,03/07/2025,Approved
100024,41,106678,564,32309,15,0.62,5,Business,Married,Bachelors,Family,Tier1,Gold,04/08/2024,Approved
100025,53,98309,632,19239,10,0.48,7,Salaried,Divorced,High School,Owned,Tier1,,14/09/2025,Rejected
100026,32,35778,487,3435,26,0.17,4,Salaried,Divorced,High School,Owned,Tier2,Gold,13/04/2024,Approved
100027,42,168573,362,44934,25,0.26,4,Salaried,Single,High School,Owned,Tier1,Platinum,15/11/2025,Approved
100028,64,137713,578,24164,30,0.14,2,Business,Single,Bachelors,Rented,Tier2,Gold,16/07/2025,Approved
